City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Belmonte,BR,2020-06-22 16:21:28,-15.86,-38.88,75.2,78,90,5.82
70,Hundorp,NO,2020-06-22 16:21:28,61.56,9.94,55.99,88,100,1.01
71,Morondava,MG,2020-06-22 16:21:28,-20.28,44.28,76.06,78,0,15.73
72,Cabo San Lucas,MX,2020-06-22 16:20:12,22.89,-109.91,81.0,61,5,5.82
73,Samarai,PG,2020-06-22 16:17:10,-10.62,150.67,79.59,85,56,11.92
74,Batagay,RU,2020-06-22 16:21:29,67.63,134.63,69.1,62,58,6.71
75,Kieta,PG,2020-06-22 16:21:29,-6.22,155.63,80.26,76,65,2.24
76,Nizwa,OM,2020-06-22 16:21:29,22.93,57.53,99.59,21,70,3.51
77,Baker City,US,2020-06-22 16:21:29,44.77,-117.83,66.2,42,1,8.05
78,Bredasdorp,ZA,2020-06-22 16:21:29,-34.53,20.04,57.2,87,1,2.1
79,Dhar,IN,2020-06-22 16:21:29,22.6,75.3,82.44,65,76,4.7
80,Angoche,MZ,2020-06-22 16:21:29,-16.23,39.91,72.91,85,87,12.17
81,Rio De Jesus,PA,2020-06-22 16:21:29,7.98,-81.16,86.63,67,34,2.44
82,Hilo,US,2020-06-22 16:17:06,19.73,-155.09,69.8,77,1,4.7
83,Nanortalik,GL,2020-06-22 16:21:29,60.14,-45.24,47.77,73,16,2.57
84,Nome,US,2020-06-22 16:21:30,64.5,-165.41,55.0,76,1,5.1
85,Razgrad,BG,2020-06-22 16:21:30,43.53,26.52,73.89,64,67,2.35
86,Lebu,CL,2020-06-22 16:21:20,-37.62,-73.65,53.04,82,98,9.91
87,Albany,US,2020-06-22 16:18:11,42.6,-73.97,88.0,48,0,3.42
88,Tampin,MY,2020-06-22 16:21:30,2.47,102.23,82.0,88,20,2.24
89,Zhuhai,CN,2020-06-22 16:21:30,22.28,113.57,88.0,89,40,10.29
90,Zlitan,LY,2020-06-22 16:20:59,32.47,14.57,74.68,68,0,20.62
91,Umm Kaddadah,SD,2020-06-22 16:17:51,13.6,26.69,99.93,16,0,1.86
92,Bathsheba,BB,2020-06-22 16:21:30,13.22,-59.52,89.6,62,40,23.04
93,Fairbanks,US,2020-06-22 16:19:27,64.84,-147.72,51.8,93,90,10.29
94,Pisco,PE,2020-06-22 16:21:30,-13.7,-76.22,64.0,82,90,4.7
95,Ryotsu,JP,2020-06-22 16:21:30,38.08,138.43,66.2,88,95,1.12
96,Tuatapere,NZ,2020-06-22 16:17:14,-46.13,167.68,39.0,83,31,3.0
97,Hermanus,ZA,2020-06-22 16:21:31,-34.42,19.23,57.0,88,5,11.16
98,Vila Velha,BR,2020-06-22 16:21:31,-20.33,-40.29,79.0,65,0,10.29
99,Namibe,AO,2020-06-22 16:17:20,-15.2,12.15,78.8,50,0,11.41
100,Gat,IL,2020-06-22 16:21:02,31.61,34.76,82.0,69,0,10.29
101,Yumen,CN,2020-06-22 16:17:34,40.28,97.2,73.51,19,0,11.12
102,Lagoa,PT,2020-06-22 16:21:31,39.05,-27.98,66.88,91,86,23.8
103,Butaritari,KI,2020-06-22 16:21:31,3.07,172.79,82.98,73,100,9.93
104,Ivanivka,UA,2020-06-22 16:21:31,46.72,34.55,79.48,58,24,8.46
105,Abu Kamal,SY,2020-06-22 16:21:31,34.45,40.92,97.59,11,0,11.03
106,Mecca,SA,2020-06-22 16:17:38,21.43,39.83,95.61,27,71,5.37
107,East London,ZA,2020-06-22 16:21:32,-33.02,27.91,67.64,72,6,11.14
108,Kabansk,RU,2020-06-22 16:21:32,52.05,106.65,57.2,71,100,6.71
109,Jalu,LY,2020-06-22 16:21:32,29.03,21.55,93.24,18,0,15.95
110,Ponta Do Sol,PT,2020-06-22 16:21:32,32.67,-17.1,75.2,60,20,14.99
111,Atar,MR,2020-06-22 16:21:32,20.52,-13.05,111.61,7,0,26.69
112,Kaitangata,NZ,2020-06-22 16:21:32,-46.28,169.85,34.54,88,1,3.49
113,Aloleng,PH,2020-06-22 16:21:32,16.13,119.78,84.15,74,96,4.54
114,Kloulklubed,PW,2020-06-22 16:17:06,7.04,134.26,78.8,94,75,3.36
115,Port Hedland,AU,2020-06-22 16:21:32,-20.32,118.57,60.8,77,0,5.82
116,Kupino,RU,2020-06-22 16:21:32,54.37,77.3,60.21,73,95,10.67
117,Zhigalovo,RU,2020-06-22 16:21:32,54.81,105.16,65.01,52,59,3.8
118,Sisimiut,GL,2020-06-22 16:21:34,66.94,-53.67,49.1,58,0,11.3
119,Ostrovnoy,RU,2020-06-22 16:21:23,68.05,39.51,44.58,76,100,16.78
120,Acapulco,MX,2020-06-22 16:17:17,16.86,-99.89,87.8,58,90,3.27
121,Oyem,GA,2020-06-22 16:21:34,1.6,11.58,80.6,69,75,1.07
122,Sungaipenuh,ID,2020-06-22 16:21:34,-2.08,101.38,66.45,95,100,1.23
123,Soe,ID,2020-06-22 16:21:34,-9.86,124.28,63.01,100,61,4.38
124,Vestmannaeyjar,IS,2020-06-22 16:21:34,63.44,-20.27,51.8,81,40,11.41
125,Thiruvananthapuram,IN,2020-06-22 16:19:16,8.48,76.92,84.2,74,75,6.93
126,Adrar,MR,2020-06-22 16:21:34,20.5,-10.07,112.28,6,0,20.65
127,Castro,BR,2020-06-22 16:21:34,-24.79,-50.01,73.9,43,0,3.02
128,Lorengau,PG,2020-06-22 16:17:09,-2.02,147.27,82.49,72,79,4.23
129,Hoquiam,US,2020-06-22 16:21:34,46.98,-123.89,60.01,82,1,8.05
130,Carnarvon,AU,2020-06-22 16:21:34,-24.87,113.63,69.8,100,90,12.75
131,Garowe,SO,2020-06-22 16:21:35,8.41,48.48,90.37,33,19,16.02
132,Coruripe,BR,2020-06-22 16:18:53,-10.13,-36.18,80.62,75,16,10.38
133,Kalmunai,LK,2020-06-22 16:21:35,7.42,81.82,84.33,76,100,2.08
134,Nikolskoye,RU,2020-06-22 16:21:35,59.7,30.79,71.6,40,29,6.71
135,Mahibadhoo,MV,2020-06-22 16:21:35,3.78,72.97,83.97,77,100,13.2
136,Carson City,US,2020-06-22 16:17:29,39.16,-119.77,73.4,33,1,3.15
137,San Pedro,PH,2020-06-22 16:21:35,14.35,121.02,84.2,83,20,4.7
138,Klyuchi,RU,2020-06-22 16:21:35,52.27,79.17,64.85,52,0,13.38
139,Pekan,MY,2020-06-22 16:20:45,3.48,103.4,80.01,94,20,1.12
140,Kurchum,KZ,2020-06-22 16:21:35,48.57,83.65,60.53,53,31,3.47
141,Victoria,HK,2020-06-22 16:20:00,22.29,114.16,86.0,74,49,10.0
