City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Morondava,MG,77.76,clear sky,-20.28,44.28,La Case Bambou
350,Luang Prabang,LA,89.6,scattered clouds,19.89,102.13,Villa Oasis
351,Nicoya,CR,77.0,broken clouds,10.15,-85.45,Guayacan Real
355,Ixtapa,MX,77.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
356,Xique-Xique,BR,77.02,few clouds,-10.82,-42.73,Hotel J. Macedo
357,Ferry Pass,US,82.0,clear sky,30.51,-87.21,Hampton Inn Pensacola-Airport (Cordova Mall Area)
361,Chodavaram,IN,87.8,scattered clouds,17.83,82.95,Ganesh Defence Academy chodavadaram hostel
369,Hobyo,SO,81.77,overcast clouds,5.35,48.53,Osmani Hotel
376,Arrecife,ES,78.8,few clouds,28.96,-13.55,Hotel Lancelot
377,Meulaboh,ID,79.92,few clouds,4.14,96.13,Kost Pria
384,Kota Bahru,MY,82.4,few clouds,6.13,102.24,Grand Riverview Hotel
385,Sayyan,YE,78.76,broken clouds,15.17,44.32,الاستاذة مروى اليوسفي
390,Akropong,GH,80.6,overcast clouds,5.97,-0.09,Vip Lodge
392,Sistranda,NO,80.6,few clouds,63.73,8.83,Hotell Frøya
397,Panaba,MX,79.36,clear sky,21.28,-88.27,Hotel Amor
404,Puerto Carreno,CO,80.6,scattered clouds,6.19,-67.49,Casa Hotel Victoria
405,Giyani,ZA,82.33,clear sky,-23.3,30.72,Kulani Country Lodge
407,Banjar,ID,80.6,few clouds,-8.19,114.97,The Hamsa Resort
410,Marsh Harbour,BS,81.91,clear sky,26.54,-77.06,Abaco Beach Resort
412,Galesong,ID,77.0,few clouds,-5.32,119.37,Sapriadi Appy
413,Epe,NG,86.45,broken clouds,6.58,3.98,MAGVILLE HOTEL
416,Kastrakion,GR,87.8,few clouds,39.72,21.62,Dellas
417,Kilindoni,TZ,78.62,clear sky,-7.91,39.67,Bustani B&B
418,Kula,TR,89.02,clear sky,38.55,28.65,Anemon Kula Hotel
421,Itarema,BR,82.53,few clouds,-2.92,-39.92,Windvillage
422,Ahuimanu,US,78.8,broken clouds,21.44,-157.84,Paradise Bay Resort
424,Ha Tinh,VN,87.58,overcast clouds,18.33,105.9,Phú Quý
426,Sumenep,ID,78.51,clear sky,-7.02,113.87,OYO 3271 Homestay Pandian
427,Progreso,MX,84.0,broken clouds,21.28,-89.67,Playa Linda Hotel
429,Carupano,VE,80.85,clear sky,10.67,-63.26,Hotel La dorada
432,Miri,MY,78.8,light rain,4.41,114.01,"Mega Hotel, Miri"
433,Cacu,BR,77.22,clear sky,-18.56,-51.13,Império Hotel
437,Suleja,NG,80.6,broken clouds,9.18,7.18,Capy Motel
438,Makakilo City,US,78.8,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
441,Nacala,MZ,81.05,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
444,Barahona,DO,84.2,dust,18.21,-71.1,Hotel Caribe
450,Tukrah,LY,80.92,clear sky,32.53,20.58,استراحة لاقروتا
